iter	Passed	Remaining
398	18652	28095
399	18689	28034
400	18728	27975
401	18775	27929
402	18806	27859
403	18837	27789
404	18882	27740
405	18921	27683
406	18977	27650
407	19007	27579
408	19044	27518
409	19085	27464
410	19130	27415
411	19175	27367
412	19211	27305
413	19251	27250
414	19294	27198
415	19338	27147
416	19446	27187
417	19504	27157
418	19576	27145
419	19621	27096
420	19701	27094
421	19763	27068
422	19803	27012
423	19842	26956
424	19881	26899
425	19934	26860
426	19985	26818
427	20028	26766
428	20070	26713
429	20106	26652
430	20148	26599
431	20177	26529
432	20212	26467
433	20247	26405
434	20315	26386
435	20370	26351
436	20457	26356
437	20531	26343
438	20644	26381
439	20684	26326
440	20723	26268
441	20754	26201
442	20791	26142
443	20836	26092
444	20874	26034
445	20911	25974
446	20950	25918
447	20990	25863
448	21024	25800
449	21060	25740
450	21099	25684
451	21138	25628
452	21175	25569
453	21220	25521
454	21253	25457
455	21296	25406
456	21332	25346
457	21370	25289
458	21389	25211
459	21404	25127
460	21421	25045
461	21440	24967
462	21457	24886
463	21476	24808
464	21492	24728
465	21509	24648
466	21528	24570
467	21550	24497
468	21576	24428
469	21602	24360
470	21618	24280
471	21635	24202
472	21676	24150
473	21697	24077
474	21718	24004
475	21740	23933
476	21763	23862
477	21782	23787
478	21799	23710
479	21835	23655
480	21870	23598
481	21913	23550
482	21953	23498
483	22004	23459
484	22030	23393
485	22063	23334
486	22092	23271
487	22136	23224
488	22164	23162
489	22209	23116
490	22243	23059
491	22274	22998
492	22307	22940
493	22337	22880
494	22378	22831
495	22418	22779
496	22479	22750
497	22515	22696
498	22564	22654
499	22597	22597
500	22630	22540
501	22659	22479
502	22703	22432
503	22734	22373
504	22762	22311
505	22806	22265
506	22831	22201
507	22855	22135
508	22887	22077
509	22925	22026
510	22954	21966
511	22986	21909
512	23016	21850
513	23064	21808
514	23100	21754
515	23136	21701
516	23190	21665
517	23226	21612
518	23250	21548
519	23271	21481
520	23314	21434
521	23343	21375
522	23363	21308
523	23386	21244
524	23411	21181
525	23451	21132
526	23472	21067
527	23499	21006
528	23545	20963
529	23589	20918
530	23627	20868
531	23662	20815
532	23716	20779
533	23758	20732
534	23791	20679
535	23826	20625
536	23880	20590
537	23923	20544
538	23960	20492
539	24037	20476
540	24083	20432
541	24112	20375
542	24152	20327
543	24190	20277
544	24219	20219
545	24237	20153
546	24258	20090
547	24279	20026
548	24303	19964
549	24327	19904
550	24349	19842
551	24366	19776
552	24393	19717
553	24413	19653
554	24439	19595
555	24461	19534
556	24483	19472
557	24509	19414
558	24540	19360
559	24569	19304
560	24591	19243
561	24614	19183
562	24633	19120
563	24657	19061
564	24743	19050
565	24769	18992
566	24787	18929
567	24810	18870
568	24832	18809
569	24848	18745
570	24873	18687
571	24894	18627
572	24914	18566
573	24933	18504
574	24959	18448
575	24984	18391
576	25018	18340
577	25054	18292
578	25084	18239
579	25119	18190
580	25159	18144
581	25201	18099
582	25242	18055
583	25266	17998
584	25301	17948
585	25327	17893
586	25362	17844
587	25395	17794
588	25427	17742
589	25465	17696
590	25500	17647
591	25529	17594
592	25557	17541
593	25597	17495
594	25625	17442
595	25664	17396
596	25691	17342
597	25726	17294
598	25767	17249
599	25797	17198
600	25820	17142
601	25857	17095
602	25879	17038
603	25917	16992
604	25943	16938
605	25987	16896
606	26019	16846
607	26045	16792
608	26063	16733
609	26082	16675
610	26110	16623
611	26143	16574
612	26160	16515
613	26177	16456
614	26206	16405
615	26233	16353
616	26272	16308
617	26303	16258
618	26323	16202
619	26347	16148
620	26374	16096
621	26398	16042
622	26421	15988
623	26446	15935
624	26465	15879
625	26484	15822
626	26514	15773
627	26533	15717
628	26554	15662
629	26579	15610
630	26599	15555
631	26628	15505
632	26650	15451
633	26674	15398
634	26699	15347
635	26723	15294
636	26742	15239
637	26765	15186
638	26793	15136
639	26814	15082
640	26830	15026
641	26853	14974
642	26873	14920
643	26896	14868
644	26918	14815
645	26941	14763
646	26965	14712
647	26983	14657
648	27007	14606
649	27031	14555
650	27049	14501
651	27067	14446
652	27091	14396
653	27119	14347
654	27135	14292
655	27158	14241
656	27178	14189
657	27204	14139
658	27232	14091
659	27269	14048
660	27294	13998
661	27314	13945
662	27337	13895
663	27365	13847
664	27392	13799
665	27419	13751
666	27436	13697
667	27464	13650
668	27507	13610
669	27536	13562
670	27568	13517
671	27600	13471
672	27629	13424
673	27657	13377
674	27691	13332
675	27718	13285
676	27741	13235
677	27790	13198
678	27821	13152
679	27856	13109
680	27888	13063
681	27924	13020
682	27949	12972
683	27979	12926
684	28010	12880
685	28046	12837
686	28073	12790
687	28094	12740
688	28121	12693
689	28147	12645
690	28168	12596
691	28192	12548
692	28218	12500
693	28248	12455
694	28276	12409
695	28300	12360
696	28326	12313
697	28348	12265
698	28368	12216
699	28391	12167
700	28412	12118
701	28433	12069
702	28459	12023
703	28490	11978
704	28509	11929
705	28531	11881
706	28550	11832
707	28577	11786
708	28599	11738
709	28623	11691
710	28647	11644
711	28675	11599
712	28703	11553
713	28730	11508
714	28753	11461
715	28770	11411
716	28790	11363
717	28817	11318
718	28843	11272
719	28864	11224
720	28890	11179
721	28915	11133
722	28939	11087
723	28956	11038
724	28980	10992
725	29010	10948
726	29032	10902
727	29049	10853
728	29076	10809
729	29106	10765
730	29126	10718
731	29141	10669
732	29160	10621
733	29184	10576
734	29203	10529
735	29224	10482
736	29249	10437
737	29275	10393
738	29299	10348
739	29351	10312
740	29393	10273
741	29420	10229
742	29464	10191
743	29529	10160
744	29592	10129
745	29618	10084
746	29648	10041
747	29679	9999
748	29714	9957
749	29754	9918
750	29786	9875
751	29813	9832
752	29847	9790
753	29886	9750
754	29928	9711
755	29956	9668
756	29985	9625
757	30018	9583
758	30053	9542
759	30083	9500
760	30118	9459
761	30145	9415
762	30171	9371
763	30203	9329
764	30233	9287
765	30265	9245
766	30299	9204
767	30330	9162
768	30353	9117
769	30380	9074
770	30406	9031
771	30434	8988
772	30471	8948
773	30502	8906
774	30529	8863
775	30547	8817
776	30568	8773
777	30600	8731
778	30634	8690
779	30667	8649
780	30701	8609
781	30728	8566
782	30755	8523
783	30782	8480
784	30813	8439
785	30843	8397
786	30875	8356
787	30910	8315
788	30939	8274
789	30969	8232
790	31005	8192
791	31033	8150
792	31060	8107
793	31104	8069
794	31133	8028
795	31162	7986
796	31196	7945
797	31238	7907
798	31267	7865
799	31295	7823
800	31329	7783
801	31362	7742
802	31391	7701
803	31425	7660
804	31470	7623
805	31503	7582
806	31534	7541
807	31565	7500
808	31597	7459
809	31622	7417
810	31646	7375
811	31671	7332
812	31702	7291
813	31735	7251
814	31767	7210
815	31799	7170
816	31828	7129
817	31859	7088
818	31896	7049
819	31932	7009
820	31960	6968
821	31991	6927
822	32034	6889
823	32061	6848
824	32094	6807
825	32123	6766
826	32154	6726
827	32187	6686
828	32220	6646
829	32254	6606
830	32291	6567
831	32319	6526
832	32346	6484
833	32385	6445
834	32433	6408
835	32467	6369
836	32501	6329
837	32563	6295
838	32614	6258
839	32654	6219
840	32686	6179
841	32717	6139
842	32789	6106
843	32826	6067
844	32872	6029
845	32900	5988
846	32933	5949
847	33006	5916
848	33048	5877
849	33082	5838
850	33143	5802
851	33183	5764
852	33213	5723
853	33270	5687
854	33312	5649
855	33347	5609
856	33383	5570
857	33433	5533
858	33479	5495
859	33523	5457
860	33559	5417
861	33596	5378
862	33661	5343
863	33705	5305
864	33770	5270
865	33844	5236
866	33909	5201
867	33959	5164
868	34046	5132
869	34120	5098
870	34179	5062
871	34251	5027
872	34298	4989
873	34356	4953
874	34404	4914
875	34466	4878
876	34524	4842
877	34599	4807
878	34651	4770
879	34693	4730
880	34732	4691
881	34796	4655
882	34842	4616
883	34875	4576
884	34923	4538
885	34990	4502
886	35029	4462
887	35081	4424
888	35141	4387
889	35216	4352
