iter	Logloss
0	0.6805316651
1	0.6682682039
2	0.6556140836
3	0.6465609309
4	0.6354188027
5	0.6219463723
6	0.6092725822
7	0.5972237944
8	0.5851373105
9	0.5737090012
10	0.5634401944
11	0.5545765019
12	0.5458434694
13	0.5346167889
14	0.524174674
15	0.5155499071
16	0.508008286
17	0.4974696666
18	0.4891878063
19	0.4809067428
20	0.4716543733
21	0.4647764054
22	0.4568307628
23	0.4472840984
24	0.4402905842
25	0.4331580313
26	0.426919783
27	0.4196707272
28	0.413489304
29	0.4072787863
30	0.4001981253
31	0.3935557483
32	0.3861253431
33	0.380499586
34	0.374413245
35	0.3677715534
36	0.3614275573
37	0.3546603468
38	0.3491363827
39	0.3430929481
40	0.337353391
41	0.3312386747
42	0.3260246474
43	0.3208422777
44	0.3153640044
45	0.3109618907
46	0.306495516
47	0.3018028798
48	0.2978393916
49	0.2936246937
50	0.2891085103
51	0.2851416151
52	0.2807505208
53	0.2762722019
54	0.2731266847
55	0.2693320322
56	0.2657007415
57	0.2624302715
58	0.2594511735
59	0.2561721451
60	0.2536717155
61	0.2507090153
62	0.2474361533
63	0.2445989572
64	0.2418024899
65	0.2386722267
66	0.2359321287
67	0.2333997952
68	0.2303298782
69	0.2274574973
70	0.2253930361
71	0.2228528547
72	0.2202424155
73	0.2181610234
74	0.215526476
75	0.2136778837
76	0.2111855776
77	0.2088518408
78	0.2062436835
79	0.2036586603
80	0.2011857588
81	0.1996003205
82	0.1974935993
83	0.1957995653
84	0.1936264455
85	0.1920591046
86	0.1899312095
87	0.1880742529
88	0.1859360991
89	0.1842041997
90	0.1823119452
91	0.1800143546
92	0.1783673198
93	0.1762154113
94	0.1741531692
95	0.1725150773
96	0.1711550189
97	0.16914723
98	0.1678002508
99	0.1658763532
100	0.164217117
101	0.162301162
102	0.1605298927
103	0.1592963669
104	0.1578478665
105	0.1562926456
106	0.1550397116
107	0.1532908336
108	0.1515975187
109	0.150003019
110	0.148742273
111	0.1473653514
112	0.1459741684
113	0.1445785415
114	0.1430797579
115	0.141671231
116	0.1405038142
117	0.1391691865
118	0.1378196511
119	0.136530173
120	0.1357068491
121	0.1344979641
122	0.1333067568
123	0.1325878709
124	0.1316680573
125	0.1306799023
126	0.129400563
127	0.1285624991
128	0.1273816705
129	0.1263599204
130	0.1254933183
131	0.1245603424
132	0.123488923
133	0.1224596386
134	0.121584543
135	0.1206248486
136	0.1196713928
137	0.1186411025
138	0.1177532144
139	0.1168013898
140	0.11619686
141	0.1150634719
142	0.1141490598
143	0.1132124405
144	0.1123469491
145	0.1117790373
146	0.1109174647
147	0.1104610239
148	0.109782257
149	0.1089104123
150	0.1081910366
151	0.1076021563
152	0.1069257722
153	0.1062449533
154	0.1053819702
155	0.1045274757
156	0.1035783841
157	0.1029623727
158	0.1020934693
159	0.1013594339
160	0.1006439954
161	0.09991950358
162	0.09913759377
163	0.09834103113
164	0.09783306505
165	0.09726306305
166	0.09665751189
167	0.09608709755
168	0.09538087885
169	0.09481033694
170	0.09420724509
171	0.09350888411
172	0.09285303112
173	0.09223614543
174	0.09173173533
175	0.09101024725
176	0.09036651242
177	0.08995602159
178	0.08926225824
179	0.08882807904
180	0.08825138608
181	0.08781875577
182	0.08731222445
183	0.08677476292
184	0.0863462902
185	0.08580743345
186	0.08539968054
187	0.08468623624
188	0.08408264049
189	0.08359827823
190	0.08299932217
191	0.08249444032
192	0.0819799018
193	0.08143984979
194	0.08098896648
195	0.08048121288
196	0.07998809861
197	0.07950104671
198	0.07909779181
199	0.07864740442
200	0.07824566133
201	0.07773014737
202	0.0773914916
203	0.07699606557
204	0.07662611204
205	0.07616015961
206	0.07575621639
207	0.07523756952
208	0.07472082177
209	0.07427771252
210	0.07386759535
211	0.0734164935
